LocationType,Location,TimeFrame,DataFormat,Data
State,Oregon,2006,Number,10656
State,Pennsylvania,2006,Number,21032
State,Rhode Island,2006,Number,2809
State,South Carolina,2006,Number,4918
State,South Dakota,2006,Number,1648
State,Tennessee,2006,Number,8602
State,Texas,2006,Number,30846
State,Utah,2006,Number,2424
State,Vermont,2006,Number,1377
State,Virginia,2006,Number,7842
State,Washington,2006,Number,10451
State,West Virginia,2006,Number,4200
State,Wisconsin,2006,Number,7638
State,Wyoming,2006,Number,1295
State,Wyoming,2006,"Rate per 1,000",10
State,Wisconsin,2006,"Rate per 1,000",6
State,West Virginia,2006,"Rate per 1,000",11
State,Washington,2006,"Rate per 1,000",7
State,Virginia,2006,"Rate per 1,000",4
State,Vermont,2006,"Rate per 1,000",10
State,Texas,2006,"Rate per 1,000",5
State,Utah,2006,"Rate per 1,000",3
State,Tennessee,2006,"Rate per 1,000",6
State,South Carolina,2006,"Rate per 1,000",5
State,South Dakota,2006,"Rate per 1,000",8
State,Rhode Island,2006,"Rate per 1,000",12
State,Oregon,2006,"Rate per 1,000",12
State,Pennsylvania,2006,"Rate per 1,000",7
State,Oklahoma,2006,"Rate per 1,000",13
State,Ohio,2006,"Rate per 1,000",6
State,North Dakota,2006,"Rate per 1,000",9
State,North Carolina,2006,"Rate per 1,000",5
State,New York,2006,"Rate per 1,000",7
State,New Mexico,2006,"Rate per 1,000",5
State,New Jersey,2006,"Rate per 1,000",5
State,New Hampshire,2006,"Rate per 1,000",4
State,Nebraska,2006,"Rate per 1,000",14
State,Nevada,2006,"Rate per 1,000",8
State,Montana,2006,"Rate per 1,000",9
State,Mississippi,2006,"Rate per 1,000",4
State,Missouri,2006,"Rate per 1,000",7
State,Minnesota,2006,"Rate per 1,000",6
State,Massachusetts,2006,"Rate per 1,000",8
State,Michigan,2006,"Rate per 1,000",8
State,Maryland,2006,"Rate per 1,000",8
State,Maine,2006,"Rate per 1,000",7
State,Louisiana,2006,"Rate per 1,000",5
State,Kentucky,2006,"Rate per 1,000",8
State,Kansas,2006,"Rate per 1,000",9
State,Iowa,2006,"Rate per 1,000",13
State,Indiana,2006,"Rate per 1,000",7
State,Illinois,2006,"Rate per 1,000",6
State,Hawaii,2006,"Rate per 1,000",8
State,Idaho,2006,"Rate per 1,000",5
State,Georgia,2006,"Rate per 1,000",5
